#ID;wigosIdentifier;Kennung;Stationsname;Geraetetyp;Messnetz;von_Datum;Geog_Breite;Geog_Laenge;Stationshoehe;pressureLevel;pressureRefLevel;barometerLevel;barometerHeight;airtemp200Height;airtemp005Height;humidityHeight;watertempHeight;rainHeight;visibilityHeight;snowHeight;windHeight;sunHeight;radiationHeight;hasPyrano;cloudHeight
2794;0-20000-0-10267;10267;Kyritz;AMDA II;15,16,320;01.01.1883;52.936248;12.409335;40.2;39.9;;39.9;;2;0.05;2;;1;2.5;2.3;19;;;0;1.55
5349;0-20000-0-10268;10268;Waren (Müritz);AMDA II;15,16,320;01.07.1889;53.519622;12.665404;72.61;65.3;;65.3;;2;0.05;2;0.5;1;2.5;2.3;12;;;0;1.55
96;0-276-2-96;10271;Neuruppin-Alt Ruppin;AMDA II;15,16,320,526;01.08.1962;52.943711;12.851826;49.84;51.39;;51.39;1.55;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
5109;0-20000-0-10281;10281;Trollenhagen;AMDA II;15,320;01.08.1939;53.599793;13.303907;68.37;69.78;;69.78;1.41;2;0.05;2;;1;;;10;;;0;1.55
7351;0-20000-0-10282;10282;Feldberg/Mecklenburg;AMDA II;15,320;01.09.2005;53.317622;13.417485;115.35;116.2;;116.2;0.85;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
1869;0-20000-0-10289;10289;Grünow;AMDA II;15,320;01.05.1967;53.315357;13.933856;55.9;57.33;;57.33;1.43;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
164;0-20000-0-10291;10291;Angermünde;AMDA II;15,16,320;15.04.1899;53.031558;13.99082;53.91;55.22;;55.22;1.31;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
15813;0-276-2-15813;10303;Lingen-Baccum;AMDA II;15,320;20.12.2016;52.512631;7.413109;40.21;41.99;;41.99;1.78;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
3254;0-20000-0-10304;10304;Meppen;MEA Fachsystem;15;01.01.1970;52.715468;7.317616;19.0;41.05;;;;2;0.05;2;;1;;;;;6;0;
7374;0-20000-0-10309;10309;Ahaus;AMDA II;15,320;06.12.2005;52.0813;6.940893;45.53;46.85;;46.85;1.32;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
342;0-20000-0-10312;10312;Belm;AMDA II;15,16,320;01.06.1994;52.317043;8.16943;103.29;103.98;;103.98;0.69;2;0.05;2;;1;2.5;2;10;;6;0;1.55
1766;0-20000-0-10315;10315;Münster/Osnabrück;AMDA II;15,16,320,526;01.01.1982;52.134375;7.696859;47.8;52.69;;52.69;4.89;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
963;0-20000-0-10321;10321;Diepholz;AMDA II;15,16,320;01.04.1938;52.588112;8.342405;37.7;43.1;;43.1;5.4;2;0.05;2;;1;2.5;2.3;12;;6;0;1.55
4371;0-20000-0-10325;10325;Salzuflen, Bad;AMDA II;15,16,320;01.01.1931;52.104207;8.752053;134.57;136.45;;136.45;1.88;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
5715;0-20000-0-10334;10334;Wunstorf;MEA Fachsystem;15,16;01.01.1891;52.462608;9.424454;48.55;69.23;;69.23;20.68;2;0.05;2;;1;2.5;;;;;0;1.55
769;0-20000-0-10335;10335;Bückeburg;MEA Fachsystem;15;22.09.1958;52.281691;9.08895;68.0;76.58;;76.58;8.58;2;0.05;2;;1;2.5;;;;6;0;1.55
2014;0-20000-0-10338;10338;Hannover;AMDA II;15,320,526;01.03.1935;52.464428;9.677906;55.24;59.56;;59.56;4.32;2;0.05;2;;1;2.5;2.2;10;;;0;1.55
850;0-20000-0-10343;10343;Celle;MEA Fachsystem;15;01.07.1958;52.59591;10.029585;39.0;52.52;;;;2;0.05;2;;;2.15;;;;;0;
662;0-20000-0-10348;10348;Braunschweig;AMDA II;15,16,320;01.12.1939;52.291469;10.446448;81.44;81.99;;81.99;0.55;2;0.05;2;;1;2.5;2.3;10;;1.7;657;1.55
5158;0-20000-0-10356;10356;Ummendorf;AMDA II;15,320;01.12.1987;52.160107;11.17586;159.32;161.41;;161.41;2.09;2;0.05;2;;1;2.5;2.3;;;;0;1.55
1544;0-20000-0-10359;10359;Gardelegen;AMDA II;15,16,320;01.12.1869;52.512889;11.394174;47.0;48;;48;1;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
3126;0-20000-0-10361;10361;Magdeburg;AMDA II;15,16,320,526;15.06.1771;52.102896;11.582674;79.0;85;;85;6;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
1605;0-20000-0-10365;10365;Genthin;AMDA II;15,16,320;01.01.1931;52.387511;12.160174;35.0;36.1;;36.1;1.1;2;0.05;2;;1;2.3;2.3;12;;;0;1.55
5546;0-20000-0-10368;10368;Wiesenburg;AMDA II;15,16,320;25.09.1964;52.120644;12.458559;187.0;187.76;;187.76;0.76;2;0.05;2;;1;2.5;2.3;18;;;0;1.55
7386;;10372;Amda34s;AMDA II;15,320;01.02.2006;52.377358;13.051897;81.0;99.6;;;;;0.05;;;;;;;;;0;
303;0-20000-0-10376;10376;Baruth;AMDA II;15,16,320;01.01.1952;52.061303;13.499731;54.81;56.16;;56.16;1.35;2;0.05;2;;1;2.5;2.3;18;;;0;1.55
3987;0-20000-0-10379;10379;Potsdam;AMDA II;15,320,526;01.01.1893;52.381247;13.06223;80.86;96.64;;96.64;15.78;2;0.05;2;;1;2.5;2.3;37.7;;33;657;1.55
403;0-20000-0-10381;10381;Berlin-Dahlem (FU);AMDA I;15,17,320;01.01.1950;52.453711;13.301731;51.0;80;;80;29;2;0.05;;;;;;36;;;0;
433;0-20000-0-10384;10384;Berlin-Tempelhof;MODES H;15,16,320;01.04.1918;52.467551;13.401981;47.74;48.69;;48.69;0.95;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
427;0-20000-0-10385;10385;Berlin Brandenburg;AMDA II;15,16,320;01.05.1938;52.380702;13.530576;45.59;50.3;;50.3;4.71;2;0.05;2;;1;2.5;1.7;10;;;0;1.55
399;0-276-6-399;10389;Berlin-Alexanderplatz;AMDA II;15,320,731;01.01.1969;52.519805;13.405737;35.8;82.5;;82.5;46.7;2;0.05;2;;1;;;368;;2;0;
3015;0-20000-0-10393;10393;Lindenberg;AMDA II;15,320,526;01.04.1906;52.208489;14.118032;97.69;103.8;;103.8;6.11;2;0.05;2;;1;2.5;2.3;10.4;;12.8;657;1.55
3158;0-20000-0-10396;10396;Manschnow;AMDA II;15,16,320;01.11.1925;52.546778;14.54525;12.0;13.39;;13.39;1.39;2;0.05;2;;1;2.5;2;12;;;0;1.55
14138;0-276-15-14138;10399;Falkenberg (Grenzschichtmessfeld);AMDA II;15,320;12.07.2009;52.16554;14.122356;73.0;74;;74;1;2;0.05;2;;1;;;10;;;0;
1078;0-20000-0-10400;10400;Düsseldorf;AMDA II;15,16,320,526;01.01.1938;51.295968;6.768626;36.6;40.62;;40.62;4.02;2;0.05;2;;1;2.5;2;10;;;0;1.55
1303;0-20000-0-10410;10410;Essen-Bredeney;AMDA II;15,16,320;01.08.1897;51.404085;6.967741;150.0;149.8;;149.84;;2;0.05;2;;1;2.5;2.3;15;;1.84;657;1.55
1303;0-20000-0-10410;10410;Essen-Bredeney;AMDA II;15,16,320;01.08.1897;51.404085;6.967741;150.0;149.8;;149.84;;2;0.05;2;;1;2.5;2.3;15;;1.8;657;1.55
3098;0-20000-0-10418;10418;Lüdenscheid;AMDA II;15,320;01.01.1994;51.245158;7.642497;386.7;389.45;;389.45;2.75;2;0.05;2;;1;2.5;2.3;13;;8.03;0;1.55
5480;0-20000-0-10424;10424;Werl;AMDA II;15,16,320;01.03.1939;51.576347;7.887922;84.76;86.16;;86.16;1.4;2;0.05;2;;1;2.3;2.3;10;;6;0;1.55
2483;0-20000-0-10427;10427;Kahler Asten;AMDA II;15,16,320,526;01.12.1918;51.180254;8.489068;839.0;841;850.0;841;2;2;0.05;2;;2;2.5;2.3;12;;4.9;657;1.55
3028;0-20000-0-10430;10430;Lippspringe, Bad;AMDA II;15,16,320,526;01.05.1897;51.785416;8.838795;157.0;158.1;;158.1;1.1;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
6197;0-20000-0-10433;10433;Lügde-Paenbruch;AMDA II;15,320;11.10.2000;51.866393;9.271007;257.63;259.2;;259.1;1.47;2;0.05;2;;1;2.5;2.3;10;;1.84;657;1.55
6197;0-20000-0-10433;10433;Lügde-Paenbruch;AMDA II;15,320;11.10.2000;51.866393;9.271007;257.63;259.2;;259.1;1.47;2;0.05;2;;1;2.5;2.3;10;;1.8;657;1.55
5347;0-20000-0-10435;10435;Warburg;AMDA II;15,320;19.06.1974;51.50392;9.111774;235.8;236.4;;236.4;0.6;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
1504;0-20000-0-10439;10439;Fritzlar/Eder;MEA Fachsystem;15;17.01.1958;51.119006;9.279894;172.16;181.41;;;;2;0.05;2;;;;;;;;0;
15207;0-20000-0-10441;10441;Schauenburg-Elgershausen;AMDA II;15,320;19.06.2013;51.283452;9.358959;317.0;317.39;;317.39;0.39;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
7367;0-20000-0-10442;10442;Alfeld;AMDA II;15,320;02.11.2007;51.964331;9.80717;143.69;145.09;;145.09;1.4;2;0.05;2;;1;2.5;2;10;;;0;1.55
1691;0-20000-0-10444;10444;Göttingen;AMDA II;15,16,320;08.11.1779;51.500248;9.950659;167.42;168.16;;168.16;0.74;2;0.05;2;;1;2.5;2;12;;7.7;0;1.55
2925;0-20000-0-10449;10449;Leinefelde;AMDA II;15,320;01.08.1956;51.393197;10.312349;355.87;358.22;;358.22;2.35;2;0.05;2;;1;2.5;2.3;12;;4;657;1.55
656;0-20000-0-10452;10452;Braunlage;AMDA II;15,16,320;01.06.1878;51.723383;10.602109;607.3;608.41;;608.41;1.11;2;0.05;2;;1.5;2.5;2;15;;;0;1.55
722;0-20000-0-10453;10453;Brocken;AMDA II;15,16,320,526;01.01.1836;51.798615;10.61828;1134.68;1151.68;850.0;1151.68;17;22.8;0.05;22.8;;2;23;2.3;27;;;0;23
5490;0-20000-0-10454;10454;Wernigerode;AMDA II;15,16,320;01.11.1858;51.84544;10.768627;233.32;234.41;;234.41;1.09;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
2044;0-20000-0-10458;10458;Harzgerode;AMDA II;15,16,320;01.01.1870;51.651967;11.136645;404.0;405.3;;405.3;1.3;2;0.05;2;;1;2.5;2;12;;;0;1.55
198;0-20000-0-10460;10460;Artern;AMDA II;15,16,320;01.08.1882;51.374433;11.29196;163.91;166.17;;166.17;2.26;2;0.05;2;;1;2.5;2;12;;;0;1.55
2932;0-20000-0-10469;10469;Leipzig/Halle;AMDA II;15,16,320,526;01.06.1897;51.434711;12.239585;131.0;135.5;;135.5;4.5;2;0.05;2;;1;2.5;2.35;10;;1.7;657;1.55
2932;0-20000-0-10469;10469;Leipzig/Halle;AMDA II;15,16,320,526;01.06.1897;51.434711;12.239585;131.0;135.5;;135.5;4.5;2;0.05;2;;1;2.5;2.35;10;;1.75;657;1.55
2928;0-20000-0-10471;10471;Leipzig-Holzhausen;AMDA II;15,16,320;01.11.1759;51.31509;12.446226;138.0;138;;138;0;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
5629;0-20000-0-10474;10474;Wittenberg;AMDA II;15,16,320;01.07.1882;51.889124;12.644598;104.47;105.8;;105.8;1.33;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
2315;0-20000-0-10476;10476;Holzdorf-Bernsdorf;MEA Fachsystem;15;01.01.1980;51.765737;13.166608;78.0;101.64;;;;2;0.05;;;;;;10;;2.25;0;1.55
3811;0-20000-0-10480;10480;Oschatz;AMDA II;15,16,320;01.01.1908;51.29597;13.092827;150.64;152.09;;152.4;1.76;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
1048;0-20000-0-10488;10488;Dresden-Klotzsche;AMDA II;15,16,320,526;01.05.1926;51.127797;13.754251;227.57;232.4;;232.4;4.83;2;0.05;2;;1;2.5;2.3;10;;1.6;657;1.55
1048;0-20000-0-10488;10488;Dresden-Klotzsche;AMDA II;15,16,320,526;01.05.1926;51.127797;13.754251;227.57;232.4;;232.4;4.83;2;0.05;2;;1;2.5;2.3;10;;1.75;657;1.55
1001;0-20000-0-10490;10490;Doberlug-Kirchhain;AMDA II;15,16,320;15.12.1889;51.645071;13.574714;96.6;97.8;;97.8;1.2;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
7393;0-20000-0-10495;10495;Hoyerswerda;AMDA II;15,320;01.03.2006;51.449238;14.25327;116.01;116.13;;116.13;0.12;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
880;0-20000-0-10496;10496;Cottbus;AMDA II;15,16,320;01.01.1887;51.775938;14.316799;68.66;69.5;;69.5;0.84;2;0.05;2;;1;2.5;2.3;16;;9.9;0;1.55
1684;0-20000-0-10499;10499;Görlitz;AMDA II;15,16,320,526;01.10.1836;51.162129;14.950606;238.48;240;;240;1.52;2;0.05;2;;1;2.5;2.3;12;;8.6;657;1.55
1572;0-20000-0-10500;10500;Geilenkirchen-Neutevern;MEA Fachsystem;15;01.12.1982;50.959253;6.039191;79.5;81.2;;81.2;1.7;2;0.05;2;;1;2.5;;;;;0;1.55
3623;0-20000-0-10502;10502;Nörvenich-Niederbolheim;MEA Fachsystem;15;01.03.1958;50.829354;6.660063;108.19;133.91;;133.91;25.72;2;0.05;2;;1;2.15;;;;;0;1.55
15000;0-20000-0-10505;10505;Aachen-Orsbach;AMDA II;15,320,526;20.10.2010;50.798281;6.02439;231.03;232.54;;232.54;1.51;2;0.05;2;;1;2.5;2.3;10;;5.72;657;1.55
3660;0-20000-0-10506;10506;Nürburg-Barweiler;AMDA II;15,320,526;01.03.1995;50.360174;6.869659;485.17;485.62;;485.62;0.45;2;0.05;2;;1;2.5;2.3;12;;6;0;1.55
2667;0-20000-0-10513;10513;Köln/Bonn;AMDA II;15,320;01.06.1892;50.864547;7.157524;90.91;99.63;;99.63;8.72;2;0.05;2;;1;2.5;2;10;;6;0;
603;0-20000-0-10519;10519;Königswinter-Heiderhof;MODES H;15,320;01.07.1986;50.729285;7.204024;147.17;147.98;;147.98;0.81;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
161;0-20000-0-10520;10520;Andernach;AMDA II;15,16,320;01.01.1897;50.423665;7.420171;75.01;76.08;;76.08;1.07;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
3167;0-20000-0-10526;10526;Marienberg, Bad;AMDA II;15,320;01.08.1892;50.662061;7.960264;546.66;546.7;;546.7;0.04;2;0.05;2;;1.5;2.5;2.3;12;;6;0;1.55
